pos,target,dist_from_goal,cost
5.000005167392901,5.1511,0.15109483260709844,0.228296484405671
5.0000002263658585,5.1511,0.15109977363414107,0.22831141592288673
4.999999148410581,5.1511,0.151100851589419,0.22831467351047624
5.000000295359589,5.1511,0.15109970464041034,0.22831120742419242
5.000000535061627,5.1511,0.15109946493837256,0.2283104830466248
5.000000596331685,5.1511,0.1510994036683142,0.22831029788920162
4.999997448764854,5.1511,0.15110255123514538,0.22831980989769735
5.000001428493788,5.1511,0.15109857150621142,0.22830778311217687
4.999998043935914,5.1511,0.15110195606408539,0.2283180112639279
5.00000353824706,5.1511,0.15109646175293978,0.22830140754257594
4.999999540388553,5.1511,0.15110045961144625,0.228313488947903
4.999997313583983,5.1511,0.15110268641601632,0.22832021842136963
5.000000109259949,5.1511,0.15109989074005092,0.22831176981655327
5.000000140657017,5.1511,0.15109985934298287,0.22831167493469207
5.000001669336802,5.1511,0.15109833066319744,0.22830705529204953
5.0000008885488985,5.1511,0.1510991114511011,0.22830941481312275
5.000001282139636,5.1511,0.15109871786036333,0.2283082253904568
5.000000901758087,5.1511,0.1510990982419127,0.22830937489519185
5.000001456247798,5.1511,0.15109854375220166,0.22830769924036
5.00000163535663,5.1511,0.1510983646433699,0.22830715797900775
4.999998507373166,5.1511,0.15110149262683326,0.22831661074056944
5.000005308373011,5.1511,0.1510946916269882,0.22829605837854655
5.000003192828215,5.1511,0.15109680717178442,0.22830245137507404
5.00000353254665,5.1511,0.1510964674533497,0.22830142476881166
5.000000457355612,5.1511,0.15109954264438752,0.22831071787343082
4.9999997555994575,5.1511,0.15110024440054204,0.22831283857903537
5.000001543496477,5.1511,0.15109845650352227,0.22830743557746813
5.000000323490161,5.1511,0.1510996765098387,0.22831112241377896
5.000005832137649,5.1511,0.1510941678623503,0.22829447562016092
4.999996379327984,5.1511,0.151103620672016,0.22832304180192498
5.000000206826276,5.1511,0.15109979317372346,0.22831147497142007
5.0000034626581025,5.1511,0.1510965373418971,0.22830163596711303
4.999997410632482,5.1511,0.1511025893675173,0.22831992513568553
4.9999963192151,5.1511,0.15110368078489955,0.2283232234674482
4.9999997337793065,5.1511,0.15110026622069306,0.22831290451964315
4.999997590643814,5.1511,0.15110240935618524,0.22831938113244177
5.000001031088113,5.1511,0.1510989689118869,0.22830898406235364
