Time,X Desired,X Actual,Y Desired,Y Actual,Z Desired,Z Actual,Roll Desired,Roll Actual,Pitch Desired,Pitch Actual,Yaw Desired,Yaw Actual
0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.009999999999999995,0.014999999999999993,7.585499652854536e-06,0.007499999999999996,8.43137488841922e-06,4.9925,5.000036401786965,0.0,6.473909269259876e-19,0.0,1.969026956098265e-18,0.0,-0.0003529469083165888
0.019999999999999934,0.029999999999999902,-0.00020777751028241599,0.014999999999999951,0.00010398174202846297,4.985,5.00015983061987,0.0,2.49444246203103e-18,0.0,8.046401275121316e-18,0.0,-0.000951613601303789
0.029999999999999874,0.04499999999999981,-0.0007168829262057136,0.022499999999999905,0.0003255980657561641,4.9775,5.000230165054773,0.0,5.316386744422308e-18,0.0,1.769511194375108e-17,0.0,-0.0015257799987565032
0.04000000000000012,0.06000000000000018,-0.0011727217656093184,0.03000000000000009,0.0006340163759862874,4.97,5.000140189800904,0.0,9.096251823403758e-18,0.0,3.045636757531237e-17,0.0,-0.002315116705182217
0.050000000000000405,0.07500000000000061,-0.0012770324691059394,0.037500000000000304,0.001172276091394557,4.9624999999999995,4.999990812522894,0.0,1.385973399189731e-17,0.0,4.670112112069726e-17,0.0,-0.002392343623382977
0.06000000000000069,0.09000000000000104,-0.0009536967040963924,0.04500000000000052,0.0019874187058363402,4.954999999999999,4.999654599445464,0.0,1.9466558649279487e-17,0.0,6.595394983466523e-17,0.0,-0.0013675442771933753
0.07000000000000098,0.10500000000000147,-0.0002116015588759842,0.052500000000000734,0.003040270796786069,4.947499999999999,4.999012833271604,0.0,2.5996500273714528e-17,0.0,8.76590286577624e-17,0.0,-4.019256738714173e-05
0.08000000000000126,0.1200000000000019,0.001002872738030955,0.06000000000000095,0.004495244637727203,4.939999999999999,4.998208037098895,0.0,3.358157265757564e-17,0.0,1.1223816972403248e-16,0.0,0.0004908560469404398
0.09000000000000155,0.13500000000000234,0.0028634185346685078,0.06750000000000117,0.0062829115280267295,4.932499999999999,4.997197041697191,0.0,4.206348663663598e-17,0.0,1.3938930772001788e-16,0.0,-0.00038608458455778014
